,text
2496,river intimate revered sage food ready waiting bhimasena greatly puzzled full faith sri krishna hastened river durvasa followers bathing great surprise find ravenous hunger given place pleased satiety comfortable cheerfulness people feasted well disciples 
2497,told sage “ come asking yudhishthira prepare food us feel well fed full eat anything ” durvasa knew told bhima “ taken meals tell yudhishthira forgive us ” party went away explanation whole universe contained sri krishna satisfaction single grain rice sati
2498,sfied time hunger beings including sage chapter xli enchanted pool stipulated period twelve years drawing close one day deer rubbing poor brahmana ’ fire kindling mortar turned go mortar got entangled horns affrighted animal fled wildly forest days matches
2499, unknown fire kindled pieces wood mechanical friction “ alas deer running away fire kindler perform fire sacrifice ” shouted brahmana rushed towards pandavas help extremity pandavas pursued animal magic deer sped great leaps bounds decoying pandavas far fo
2500,rest disappeared worn futile chase pandavas sat great dejection banyan tree nakula sighed “ render even trifling service brahmana degenerated said sadly bhima said “ quite draupadi dragged assembly killed wretches sufier sorrows ” looked arjuna sadly arjun
2501,a agreed “ bore silence vulgar insulting brag son chari oteer nothing deservedly fallen pitiable state ” yudhishthira noticed sorrow lost cheerfulness courage thought would cheerful something torm ented thirst said nakula “ brother climb tree see whether p
2502,ool river nearby ” nakula climbed tree looked around said “ little distance see water plants cranes must certainly water yudhishthira sent fetch drink nakula glad got place saw pool thirsty thought quenching thirst first beforetaking water quiver brother s
2503,ooner dip hand transparent water heard voice said “ rash pool belongs son madri answer questions drink water ” nakula surprised carried away intense thirst heedless warning drank water overcome irresistible drowsiness fell appearance dead surprised nakula 
2504,returned yudhishthira sent sahadeva see matter sahadeva reached pool saw brother lying ground wonder ed whether harm come looking matter rushed irresistibly water quench burning thirst voice heard “ sahadeva pool answer questions may quench thirst ” like n
2505,akula sahadeva also heed warning drank water dropped puzzled worried sahad eva also return yudhishthira sent arjuna see whether brothers met danger “ bring water ” added thirsty arjuna went swiftly saw brothers lying dead near pool shocked sight felt must 
2506,killed lurking foe though heartbroken grief burning desire revenge felt feelings else submer ged monstrous thirst irresistibly impelled fatal pool voice heard ‘ answer question drink water pool mine disobey follow brothers ” arjuna ’ anger knew bounds crie
2507,d “ come stand kill ” shot keen edged arrows direction voice invisible laughed scorn “ arrows wound air answer questions satisfy thirst drink water without die greatly vexed arjuna made mind seek grapple elusive foe first must quench terrible thirst yes th
2508,irst enemy must kill first drank water also fell dead anxious waiting yudhishth ira turned bhima “ dear brother arjuna great hero also yet returned something terrible must happened brothers stars bad please seek quick also bring wate r die thirst ” bhima r
2509,acked anxiety hurried away without word grief rage imag ined saw three brothers lying dead thought “ certainly work yakshas hunt kill thirsty shall first drink water better fight ” descended pool voice shouted “ bhimase na beware may drink answering questi
2510,ons ou die disregard words ” “ dictate ” cried bhima drank water avidly glaring around defia nce great strength seemed slip like garment also fell dead among brothers lone yudhishthira wailed hell anxiety thirst “ subjected curse wandering forest vain sear
2511,ch water fainted died thirst ” unable bear thoughts driven desperate overpowering thirst started look brothers pool yudhishthira proceeded direction brothers taken tracts infested wild boar abounding spotted dear huge forest birds presen tly came upon beau
2512,tiful green meadow girdling pool pellucid water nectar eyes saw brothers lying like sacred flagpoles thrown pell mell festival unable restrain grief lifted voice wept stroked faces bhima arjuna lay still silent mourned “ end vows exile end snatched away ev
2513,en gods forsaken misfortune ” looked mighty limbs helpless sadly wondered could powerful enough kill brokenly reflected “ surely heart must made steel break even seeing nakula sahadeva lie dead purpose continue live world sense mystery overcame could ordin
2514,ary occurrence world held warriors could overcome brothers beside wounds bodies could let life faces faces men slept peace died wrath also trace footprints enemy surely magic could trick played dury odhana might poisoned water yudhishthira also descended p
2515,ool turn drawn water consuming thirst voice without form warned “ brothers died heed words follow answer questions first quench thirst pool mine ” yudhishthira knew could none words yaksha guessed happened brothers saw possible way redeeming situation said
2516, bodiless voice “ please ask questions ” voice put questions rapidly one another asked “ makes sun shine every day ” yudhishthira replied “ power brahman ” “ rescues man danger ” “ courage man ’ salvation danger ” “ study science man become wise ” “ studyi
2517,ng sastra man become wise association great wisdom gets wisdom ” yaksha asked “ nobly sustaining earth ” yudhishthira replied “ mother brings children borne nobler sustaining earth ” “ higher sky ” “ father ” “ fleeter wind ” “ mind ” “ blighted withered s
2518,traw “ sorrow stricken heart ” “ befriends traveller ” “ learning ” “ friend one stays home ” “ wife ” “ accompanies man death ” “ dharma alone accompa nies soul solitary journey death ” “ biggest vessel ” “ earth contains within greatest vessel ” “ happin
2519,ess ” “ happiness result good conduct ” “ abandoning man becomes loved ” “ pride abandoning man loved ” “ loss yields joy sorrow ” “ anger giving longer subject sorrow “ giving man becomes rich “ desire getting rid man becomes wealthy ” “ makes one real br
2520,ahmana birth good conduct learning answer decisively ” “ birth learning make one brahmana good conduct alone however learned person may brahmana slave bad habits even though may learned four vedas man bad conduct falls lower class ” “ greatest wonder world
2521, ” “ every day men see creatures depart yama ’ abode yet remain seek live ever verily greatest wonder ” thus yaksha posed many questions yudhishthira answered end yaksha asked “ king one dead brothers revived want revived shall come back life ” yudhishthir
2522,a thought moment replied “ may cloud complexioned lotus eyed broad chested long armed nakula lying like fallen ebony tree arise yaksha pleased asked yudhishthira “ choose nakula preference bhima strength sixteen thousand elepha nts heard bhima dear arjuna 
2523,whose prowess arms protection tell chose nakula rather either two ” yudhishthira replied “ yaksha dharma shield man bhima arjuna dharma set naught man mined kunti madri two wives father surviving son kunti completely bereav ed order scales justice may even
2524, ask madri ’ son nakula may revive yaksha pleased yudhishthira ’ impartiality granted brothers would come back life yama lord death taken form deer yaksha might see son yudhishthira test embraced yudhishthira blessed yama said “ days remain complete stipul
2525,ate period exile forest thirteenth year also pass none yourenemies able discov er successfully fulfil undertaking ” saying disappeared pandavas doubt pass sorts troubles exile gains inconsiderable period hard discipline searching probation emer ged stronge
2526,r nobler men arjuna return ed tapas divine weapons strengthened contact indra bhima also met elder brother hanuman near lake saugandhika flowers bloom ed got tenfold strength embrace met enchant ed pool father ama lord dharma udhishthira shone tenfold lust
2527,re “ minds listen sacred story yudhishthira ’ meeting father never go evil never seek create quarrels among friends covet wealth others never fall victims lust never unduly attached transitory things ” thus said vaisampayana janamejaya related story yaksha
2528, may good attend readers story retold us chapter xlii domestic service “ bra hmanas deceived sons dhritarashtra cheated kingdom reduced poverty still passed years cheerfully joy forest thirteenth year exile come time us part spend next twelve months undisc
2529,overed spies duryodhana god knows day dawn see us together without fear concealment bless us go may escape notice may wish betray us sons dhritarashtra either fear hope reward ” spoke yudhishthira brahmanas living pandavas till voice shook emotion spoke wo
2530,rds dhaumya consoled said “ parting hard dangers many great wise learned shaken daunted must disgui se indra lord gods pested demons disguis ed brahmana lived unknown country nishadha safely concealed thus managed destroy enemies must also likewise mahavis
2531,hnu lord universe become child womb aditi suffer human birth take away emperor bali kingdom salvation world lord narayana refuge men enter weapon indra defeat vritra asura king fire god hide waters sake gods sun go sight every day lord vishnu pervading god
2532, descend son dasaratha spend long years suffering many sorrows sake killing ravana greatest souls past sanctified disguise good purpose likewise conquer enemies win prosperity ” yudhishthira took leave brahmanas gave mem bers retinue leave go home pandavas
2533, retired secluded spot forest discussed futur e line action yudhishthira sadly asked arjuna “ well conversan ways world would best us spend thirteenth year ” arjuna replied “ great king know yama lord death blessed us easily pass twelve months together wit
2534,hout discovered many charming states us choose sojourn states like panchala matsya salva videha bahlika dasharna surasena kalinga magadha course choose may venture opinion matsya country king virata best prosperous charming yudhishthira answered “ virata k
2535,ing matsya strong loves us much mature judgment devoted practice virtue frightened duryodhana agree would best live incognito v irata ’ kingdom arjuna said “ well king work would seek court virata ” asked question arjuna full sorrow thought yudhishthira gr
2536,eat guileless king performed rajasuya sacrifice disguise take service yudhishthira answered “ thinking asking virata take service courtier could delight conversation dexterity dice shall take garb sanyasin shall keep agreeably engaged skill reading omens k
2537,nowledge astrology well vedas vedangas ethics politics sciences shall caref ul course anxious shall tell intim ate friend yudhishthira learnt things privileged bhima work conquered slew baka hidimba take virata saved us killing jatasura valour strength flo
2538,win g disguise hide mighty personality enable live unknown country mastya ” udhishthira tears put question bhima bhima laughingly replied “ king think taking service cook court virata know great appetite also expert cooking shall please virata preparing da
2539,inty food never tasted shall hew trees forest bring heaps fuel ishall also delight king contending defeating wrestlers come court made yudhishthira anxious feared danger might befall bhima engaged wrestling bouts bhima spoke thus calm fears “ shall kill an
2540,yone may give bad jolt wrestler deserves shall kill anyone shall restrain mad bulls buffaloe wild animals thus entertain king v irata ” afterwards yudhishthira addre ssed arjuna “ profession propose take hide towering valour ” asked question yudhishthir co
2541,uld restrain narrating brilliant exploits arjuna spoke brother ’ glory twenty verses w ell deserves praise arjuna arjuna replied “ revered brother shall hide guise eunuch serve ladies court shall hide jacket scars arms made constant chafing bow string reje
2542,cted urvasi ’ amorous overtures ground like mother unto cursed loss manhood indra ’ grace curse would hold good year time would mine choose shall serve year loss manhood wearing bangles made white conchs braiding hair like woman clothing female attire shal
2543,l engage menial work inner apartments virata ’ queen shall teach women singing dancing shall seek service saying used serve draupadi yudhishthira ’ court ” saying arjuna turned draupadi smiled yudhishthira tears “ alas fates decreed equal sri krishna fame 
2544,valour scion bharata ’ line stands high like great golden mount meru must go seek employment virata eunuch queen ’ inner apartments said brokenly yudhishthira turned nakula asked work would engage thought madri mother nakula tears rolled eyes nakula replie
2545,d “ shall work king virata ’ stables mind delights training looking horses know heart horses knowledge ailments cure ride break horses also harness drive chariot shall say looked horses pandavas doubt virata take service ” yudhishthira asked sahadeva “ int
2546,elligence brihaspati priest preceptor gods knowledge sukra teacher asuras work take ” sahadeva replie “ let nakula look horses shall tend cows shall guard virata ’ cattle ravages disease attacks wild beasts ” “ draupadi ” yudhishthir could find words ask p
2547,roposed dearer life worthy reverence protection seemed sacrilege talk service princess daughter king nobly born tenderly nurtured yudhishthira felt choked shame despair draupadi saw grief spoke brave words “ best kings grieve suffer anxiety account shall s
2548,airandhri court queen virata companion attendant princess shall preserve freedom chastity attendant companion princess right exercise shall pass days light tasks braiding hair entertaining women court small talk shall represent thus served princess draupad
2549,i yudhishthira ’ court seek employment queen thus shall remain unknown others ” yudhishthira praised draupadi ’ courage said “ auspicious one speak befits one family ” pandavas thus decided dhaumya blessed advised thus “ engaged service king always vigilan
2550,t must serve without talking much may give counsel asked never obtrude praise king fitting occasions things matter small may done onlyafter informing king veritable fire human form go near yet appear avoid even though person may trusted king great authorit
2551,y still always behave would dismissed imme diately would foolishness place much confidence king one may sit conveyance seat chariot king presuming affection servant king ever active self restrained excessively elated unduly depressed honoured dishonoured k
2552,ing “ may reveal secrets confided may recei anything form gift citizens jealous servants king may place fools positions authority leaving aside wise way wardness ignored one careful ladies court faintest suggestion indelicacy one ’ conduct towards dhaumya 
2553,blessed pandavas “ live thus patienc e one year serving king virata pass rest days happiness regaining lost throne ” chapter xliii virtue vindicated yudhishthira put garb sanyasin arjuna transformed eunuch others also disguised disguise could take away nat
2554,ural charm grace nobility mien went king virata seeking service seemed born command rule rather serve hesitated first engage service yielding urgent solicitations finally appointed places sought yudhishthira became king ’ companion spent days playing dice 
2555,bhima worked chief cooks also entertained king wrestling reputed men might came court controlling wild animals arjuna assumed name brihannala taught dancing singing instrumental music princess uttara daughter v irata ladies nakula looked horses sahadeva lo
2556,oked cows bulls princess draupadi fate less cruel served many maids pass days serving sudeshna virata ’ queen lived inner apartments palace maid companion engaging uncongenial tasks kichaka brother sudeshna commander chief virata ’ army old king virata owe
2557,d power prestige kichaka wielded vast influence people used say kichaka real king matsya country old virata king name kichaka inordinately vain strength influen ce king smitten draupadi ’ beauty conceived uncontrollable passion sure attractions power never
2558, occurred though mere maid servant could resist made amorous overtures greatly vexed draupadi shy speak sudeshna gave husbands gandharvas would mysteriously kill tried dishonour good conduct lustre made everyone believe story gandharvas kichaka frightened 
2559,easily sought persistently seduce draupadi persecution became intolerable last complained queen sudeshna implored protection kichaka course greater influence sister shamelessly confided unlawful passion maid sought aid compass wish represented dying desire
2560, “ full torment ” said “ time met maid get sleep rest must save life managing somehow make receive advances favourably ” queen tried dissuade kichaka would listen finally sudeshna yielded decided upon plan entrap draupadi one night many sweetmeats intoxica
2561,ting drinks prepared house kichaka great feast arranged sudeshna called sairandhri side handing beautiful golden jug bade go bring jug wine kichaka ’ house draupadi hesitated go house infatuated kichaka hour begged hard someone else many attendants might s
2562,ent sudeshna listen pretended angry said sharply “ go must send anyone else ” poor draupadi obey draupadi ’ fears justified reached kichaka ’ house wretch maddened lust wine began pester urgent entreaties solicitations rejected prayers said “ belong noble 
2563,royal family seek born low caste take wrong path approach married lady perish protectors gandharvas kill anger ” draupadi would yield entreaties kichaka seize arm pulled putting vessel carried wrenched hersel f free fled hotly pursued maddene kichaka fled 
2564,court wailing loudly even intoxicated wine even power influence kichaka followed kicked presence abusive words everyone afraid powerful commander chief one bold enough oppose draupadi could bear sorrow anger felt thought helplessness intolerable insult off
2565,ered deep distress made forget danger would befall pandavas discovered prematurely went night bhima waking gave vent agonised sense wrong telling brutally kichaka pursued insulted appealed piteously bhima protection revenge said voice choked sobs “ bear lo
2566,nger must kill wretch sake help keep promise serve menial office even prepare sandal paste virata minded till served mother kunti love honour serve wretches fearful every moment disgraceful outrage mind hard work see hands ” showed hands cracked stain ed m
2567,enial tasks bhima respectfully carried hands face eyes speechless sorrow pity love dried tears finally found voice said thickly “ care promise yudhishthira advice arjuna care may happen say kill kichaka gang ” rose draupadi warned bhima hasty talked finall
2568,y decided kichaka beguiled come alone night retired spot dancing hall find waiting bhima disguised woman instead draupadi next morning kichaka renewed hateful attentions vain gloriously said draupad “ sairandhri threw kicked presence king one come forward 
2569,help virata king name matsya country command er chief real sovereign fool come enjoy life withme royal honours shall devoted servant ” begged bullied cringed devouring lust reddened eyes draupadi preten ded yield said “ kichaka believe longer resist solici
2570,tations none companions brothers know relations swear faithfully keep secret others shall yield wish kichaka delighte dly agreed condition promised go alone place assignation night said “ women dancing lessons daytime dancing hall return quarters nightfall
2571, none dancing hall night come tonight shall waiting ou ” kichaka revelled happiness night kichaka took bath perfumed decked went dancing hall finding joy doors open gently entered place dim light saw someone lying couc h doubt sairandhri groped way dark ge
2572,ntly laid hands person sleeper alas soft form sairandhri touched iron frame bhima leapt forth like lion prey hurled ground surprised kichaka cowa rd fighting dear life grimly wrestled kichaka doubt thinking one gandharva husbands ill matched time bhima bal
2573,arama kichaka reputed class strength wrestling skill struggle bhima kichaka like betwe en vali sugriva end bhima killed kichaka pounding kneading body shapeless lump flesh gave glad news kichaka ’ punishment draupadi went haste kitchen bathed rubbed sandal
2574, paste body slept satisfaction draupadi woke guards court said “ kichaka came molest warned gandharvas husb ands made short work commander chief fell prey lust killed look ” showed corpse kichaka reduced shapeless mass human semblance chapter xliv matsya d
2575,efended fate kichaka made draupadi object fear people virata “ woman beautiful captures hearts dangerous lovely gandharvas guard great danger people city members royal household gand harvas may stop nothing jealous anger would best send city ” reflecting t
2576,hus citizens went sudeshna prayed expel draupadi sudeshna told draupadi “ doubt virtuous lady kindly leave city enough ” one month complete stipulated period living incognito draupadi begge earnestly permitted stay another month said gandharva husbands wou
2577,ld realised objects would ready take away gandharvas would grateful king virata kingdom whether grateful gandharvas could deadly irritated sudeshna afraid draupadi refuse request beginning thirteenth year spies duryodhana express orders searched pandavas p
2578,ossible places hiding several months futile search reported failure duryodhana added probably pandavas perished privations came news powerful kichaka killed single comba gand harva account woman two persons could kill kichaka bhima one suspected bhima migh
2579,t vengeful gandharva killed kich aka duryodhana also felt lady cause killing might draupadi expressed doubts open assembly said “ suspect pandavas virata ’ city one kings stiff necked court friendship would good thing invade country carry away cows pandava
2580,s hiding certainly come fight us repay virata ’ shospitality surely spot discover stipulated time go forest another twelve years hand pandavas nothing lost ” king susarma ruler trigarta heartily supported “ king matsya enemy ” said “ kichaka given lot trou
2581,ble kichaka ’ death must weakened virata considerably give leave attack v irata ” karna seconded propositio n unanimously came decision susarma attack mats ya south draw army virata south defence duryodhana kaurava army would launch surprise attack virata 
2582,northern side would relatively undefended susarma invaded matsya south seized cattle laid waste gardens fields way cowherds ran great distress virata much wished kichaka alive surely would made short work raiders said kanka assumed name yudhishthira known 
2583,virata ’ court latter said “ king worried even though hermit expert warfare shall put armour go chariot drive away enemies please instruct cook valala stable keeper dharmagranthi cow rd tantripala may also get chariots help us heard great fighters kindly g
2584,ive orders necessary chariots weapons may given us ” delighted virata willing accept offer chariots ready pandavas excepting arjuna went army virata oppose susarma men fierce fight ensued armies virata susarma much loss life sides susarma attacked virata s
2585,urrounded chariot compelling get fight foot susarma captured virata held captive chariot capture virata army matsya lost heart began scatter directions yudhishthira commanded bhim attack susarma release v irata rally scattered matsya forces words yudhishth
2586,ir bhima uproot tree yudhishthira stopped said “ tricks please battle cry identity revealed fight like anybody else chariot bows arrows ” bhima accordingly got chariot attacked enemy set virata free captured susarma dispersed forces matsya rallied new form
2587,ations char ged defeated army susarma soon news susarma ’ defeat reached city people extremely jubilant decora ted city went forth welcome victorious king back home thus making preparations receive king virata big army duryodhana came north began despoilin
2588,g cattle ranches skirts city kaurava army marched force rounded countless cows leader cowherds ran city said prince uttara “ prince kauravas marching robbing us cows king virata gone south fight trigarta consternation one protect us king ’ son look protect
2589,ion pray come recover cows honour family ” leader cowherds made complaint uttara presence people especially women palace prince felt flushed valour proudly said “ get someone charioteer recover cows single handed well feats arms worth seeing people know li
2590,ttle choo se arjuna ” uttara said words draupadi inner apartments must laugh ed within ran princess uttara said “ princess great danger befallen country cowherds complained young prince kaurava army advancing city north captured cattle ranches cows outskir
2591,ts prince eager fight need charioteer small thing stand way victory glory tell brihannala arjuna ’ charioteer theservice queen pandavas heard fact also know brihannala learnt archery arjuna order brihannala immediately go drive prince ’ chariot ” princess 
2592,ran brother said “ learn sairandhri served pandava court brihannala expert charioteer actually charioteer arjuna pandava hero take go forth save us cover glory ” prince agreed princess ran dancing hall informed brihannala arjuna disguise services required 
2593,charioteer said “ kauravas going away wealth cows father wicked men come taking advantage king ’ absence sairandhri says arjuna ’ charioteer acquired dexterity warfare go drive prince ’ chariot afraid prince protect ” hiding smile prope r show hesitation d
2594,iffidence arjuna assented also pretended unfamiliar armour raised laugh awkwardness wearing women palace laughed fears told afraid uttara would look arjuna spent time fun harnessed horses could seen least expert charioteer held reins horses seemed love obe
2595,y “ prince victorious shall despoil enem embroidered robes distribute prize victory ” last words brihannala women palace chariot rapidly bore prince outwards battle chapter xlv prince uttara uttara son virata set enthusiasm city chariot brihannala chariote
2596,er commanded latter drive quickly place kauravas rounded cows nothing loth horses put best speed presently kaurava army sighted first gleaming line enveloped cloud dust seemed go skies going nearer uttara saw great army drawn battle bhishma drona kripa dur
2597,yodhana karna sight courage gradually drying rapid rush field quite gone mouth went dry hair stood end limbs tremble shut eyes hands keep fearsome sight said “ single han ded attack army troops since king father taken available forces leaving city unprotec
2598,ted absurd think one man alone fight well equipped army led world renowned warrior oh brihannala turn back chariot ” brihannala laughed said “ prince started city full fierce determina tion ladies expect great things citizens also put trust sairandhri prai
2599,sed come request return without recovering cows shall become laughing stock turn back chariot let us stand firm fight fear ” words brihannala began drive chariot towards enemy approached quite close uttara ’ distress pitiable said quaking voice “ simply le
2600,t kauravas march cows women laugh let care sense fighting people immeasurably stronger fool turn back chariot otherwise shall jump walk back ” words urtara cast bows arrows got chariot began fly towards city mad panic taken something never happened life ut
2601,tara ’ panic first battle means singula r fear strong instinctive feeling though overcome power strong motives like love shame hate usually discipline even men afterwards distinguished heroic deeds confessed felt something like panic fear first time came f
2602,ire uttara means exceptional coward fought fell gallantly kurukshetra arjuna pursued running prince shouting stop behave like kshatriya braided hair charioteer began dance clothes began wave ran pursuit uttara prince fled hither thither trying dodge hands 
2603,would stop kaurava army could see spectacle found amusing drona puzzled sight brihannala albeit dressed fantastically seemed man rigged woman remind curiously arjuna remarked karna said “ arjuna matter even arjuna alone us absence pandavas king left son al
2604,one city gone whole army fight susarma young prince brought attendant ladies palace charioteer ” poor uttara imploring brihannala let go promising untold wealth appealed pity “ son mother child grown mother ’ lap full fear ” brihannala wanted save would le
2605,t go pursued seized dragged chariot force uttara began sob said “ fool brag alas happen ” arjuna said kindly soothing prince ’ fears “ afraid shall fight kauravas help looking horses driving chariot shall rest believe good ever came flight rout enemy recov
2606,er cows glory words arjuna lifted prince chariot putting reins hands asked drive towards tree near burial ground drona watching intently knew fantastically dressed charioteer arjuna shared knowledge bhishma duryodhana turned karna said “ worry even arjuna 
2607,playing hands discovered send pandavas forest another twelve years ” soon came near tree brihannala bade princ e get climb tree take arms hidden prince said alarm grief “ people say hangs tree corpse old huntress touch dead body ask thing ” arjuna said “ c
2608,orpse prince know contains weapons pandavas climb tree bravely bring delay ” seeing resistance avail uttara climbed tree brihannala asked took great disgust bag tied came leather bag opened saw weapons bright sun uttara stood amazed sight gleaming weapons 
2609,covered eyes muster ed courage touched touch seeme send stream hope high courage asked ardour “ charioteer wonder ou say bows arrows swords belong pandavas deprived kingdom retired forest know ” arjuna told briefly virata ’ court said “ kanka serves king y
2610,udhishthira valala cook prepares nice dishes father none bhima sairandhri insulting kichaka killed draupadi dharmagranthi looks horses tantripala keeper cows nakul sahadeva respectively arjuna afraid oprince soon see defeat kauravas even sight bhishma dron
2611,a aswatthama recover cows also gain renown lesson ” uttara folded hands said “ arjuna fortunate see eyes arjuna victorious hero whose contact put heart courag e forgive wrongs done ignorance ” approached kaurava host arjuna recounted heroic deeds uttara mi
2612,ght lose grip newly awaken ed courage arriving front kaurava got prayed god removed conch bangles hands put leather gauntlets tied cloth flowing hair stood facing east meditated armour got chariot gloried familiar feel famous gandiva bow stringed thrice tw
2613,ange string whose shrill note raised echo sides hearing soun heroes kaurava army said one another “ surely gandiva ’ voice ” arjuna stood chariot godlike stature blew conch devadatta kaurava army alarmed frenzied shout arose pandavas come story uttara spok
2614,e boastfully ladies ’ boudoirs fled panic sight hostile array introdu ced mahabharata merely comic interlude ordinary human nature look contempt lower levels conduct ability rich scorn poor beautiful plain strong weak brave men despise cowards arjuna ordin
2615,ary man great soul true hero felt duty strong brave man help others rise weakness knowing nature endowed courage bravery birth owed special exertions part true humility really great could put courage uttara make worthy lineage arjuna ’ characteristic nobil
2616,ity never abused strength power one many names bibhatsu means one shrank unworthy act lived chapter xlvi promise fulfilled chariot arjuna thunder ed way seeming shake earth hearts kauravas quaked heard twang gandiva bow “ army must arrayed well care arjuna
2617, come ” said drona anxiously duryodhana like honour drona arjuna anxiety said karna “ pandavas ’ pledge would spend twelve years forest follow ing year undiscovered thirteenth year ended yet arjuna revealed time give way fear pandavas go forest another twe
2618,lve years drona suffering cold feet learned let us leave rear advance battle karna assented said “ soldiers ’ heart fight trembling fear say man stands proudly bow hand chariot speeding towards us arjuna need fear even parasurama stop advancing warrior red
2619,eem word fight aye even others stand back may drive away cows matsya king singlehanded shall give cover engaging arjuna battle ” karna usual began blow trumpet kripa heard words karna said “ pure tomfoolery must make combined attack arjuna would one chance
2620, success therefore brag opposing alone unaided ” karna grew angry said “ acharya ever delights singing arjuna ‘ praises magnifying prowess whether fear excessive fondness pandavas know afraid need fight may simply look others true salt eaten engage battle 
2621,one mere soldie r loves friends hates enemies stand fight businesshave men learned vedas love praise enemies got ” said sneeringly aswatthama drona ’ son kripa ’ nephew could hear unmoved sneer venerable teachers said stemly karna “ yet taken king back has
2622,tinap ura battle yet brag idle vainglory may kshatriyas belong class recites vedas sastras able find sastra honourable kings seize kingdoms cheat ing dice even fight conquer kingdoms crow loudly see done proud fire silent yet cooks food sun shines likewise
2623, mother earth sustains things movable immovable supports burden without much whisper claim praise kshatri ya unlawfully seized another ’ kingdom game dice cheated pandavas kingdom matter glory spread traps unsuspecting birds duryod hana karna battle heroes
2624, defeat pandavas dragged draupadi assembly proud destroyed kaurava race like empty headed clod fells big sandal tree love fragrance fight arjuna find different thing throw dice gandiva send forth sharp arrows fours twos game dice vain fools think sakuni me
2625,re cheating sneak victory battle ” leaders kaurava army lost patience began loud wordy warfare seeing grandsire filled sorrow said “ wise man insult teachers one engage battle careful calculation time place circumstance even wise people often lose balance 
2626,good sense affairs ruffled anger even usually sensible duryodhana fails recognise wamor stands braving army arjuna intellect clouded anger aswatthama pray mind karna ’ offensive remarks must take intended merely put preceptors mettle sting action thetime n
2627,urse enmity sow dissension drona kripa aswatthama forget forgive kauravas find whole world heroes superior drona preceptor son aswatthama combine vedic scholarship kshatriya heroism know none parasurama equal drona conquer arjuna join toget fight let us ad
2628,dress task us quarrel amongst fight arjuna ” thus spoke grandsire soothed noble words angry feelings subsided bhishma turned duryodhana continued “ best kings arjuna come stipulated period thirteen years terminated yesterday calculation wrong men learned s
2629,cience planetary movements tell knew period ended arjuna blew conch reflect little deciding war wish make peace pandavas time seek honourable peace mutually destructive war ponder well make choice ” duryodhana replied “ revered sire wish peace shall give e
2630,ven village pandavas let us get ready war ” drona said “ let prince duryodhana take away fourth army guard return hastinapura let another surround cows seize return without seizing cows would amount acknowledgment defeat rest army five us give battle arjun
2631,a ” kaurava forces ranged accordingly battle array arjuna said “ uttara see duryodhana ’ chariot duryodhana see bhishma standing clad armour think duryodhana driving away cows hastinapura let us pursue recover cows ” words arjuna moved away kaurava army we
2632,nt duryodhana cows going respectfully greeted teachers old grandsire drawing gandiva bow sending arrows fall near feet reverently saluting heroic fashion left pursued duryodhana arjuna reached place cows gathered put rout marauding force turned cowherds as
2633,ked take cows byres great rejoicing arjuna pursued duryodhana seeing bhishma kaurava warriors rushed rescue surrounding arjuna sent forth arrows arjuna carried wonderful fight first made karna drove battlefield attacked defeated drona seeing drona standing
2634, spent fatigue aswatthama joine fight attacked arjuna gave arjuna opportunity letting drona withdraw field ensued bitter struggle aswatthama arjuna aswatthama grew weary kripa relieved maintained attack arjuna kripa also sustained defeat whol e army routed
2635, tied fear though rallied brought back attack bhishma drona others fight left finally left field glorious fight bhishma arjuna said gods came see attempt head arjun ’ pursuit duryodhana thus failed soon arjuna came duryodhana strongly attacked duryodhana d
2636,efeated fled battlefield far arjuna taunted cowardice turned round like serpent resumed fight bhishma others surrounded protected arjuna fought finally employed magic weapon made fall unconscious battlefield condition snatched away garments seizure clothes
2637, enemy sign decisive victory days duryodha na came bhishma sent back city whole army returned hastinapura humiliating defeat arjuna said “ uttara turn back horses cows regained enemies fled prince return kingdom adorning person sandal paste decked flowers 
2638,” way back arjuna deposited weapons tree dressed brihannala sent messengers advance proclaim city uttara glorious victory chapter xlvii virata ‘ delusion defeatin g susarma king trigatta virata returned capital amidst acclamations citizens reached palace s
2639,aw uttara womenfolk told much elation uttara set conqu er kauravas doubt handsome prince could conquer whole world king ’ heart sank within news knew impossible task delicately nurtu red prince taken bette r following eunuch “ dearly loved son must dead ” 
2640,cried overwhelmed anguish bade ministers collect send strong force could got together rescuing uttara still alive bring back scouts also immediately despatched find uttara ’ abouts fate dharmaputra disguised sanyasin kanka tried comfort virata assuring pri
2641,nce could come harm since brihannala gone charioteer “ know said “ whosoever fights chariot driven sure victory news susarma ’ defeat must reached kauravas must retreated ” meanwhile courtiers arrived field battle glad news uttara defeated kaurava forces r
2642,ecovered kine seemed good true even fond father yudhishthira smilingly reassured said “ doubts king messengers say must true brihannala went charioteer success certain nothing extraordinary son ’ victory happen know even indra ’ charioteer krishna ’ equal 
2643,brihannala ” seemed absurd virata happy resent made large gifts precious stones wealth messengers broug ht good news ordered public rejoici ng “ success susarma nothing ” proclaimed “ prince ’ real victory let special prayers thanksgiving offered places wo
2644,rship let principal streets decorated flags citizens go procession strains oftriumphal music make arrangements receive befitting manner lion hearted boy ” virata sent ministers soldiers maidens welcome son returning triumph king retired private apartments 
2645,asked sairandhri bring dice said kanka “ contain joy come let us play ” sat game udhishthira talked played naturally king full son ’ greatness prowess “ see glory son bhuminjaya put famed kaurava warriors flight ” “ yes ” replied yudhishthira smile “ son i
